product_id,gear_name,brand,categories,sub_categories,color,price,num_images,short_description,description
943815,Oxford Original Approved AA Slim Jeans,Oxford Products,Apparel & Accessories / Clothing / Activewear / Motorcycle Protective Clothing / Motorcycle Pants,Riding Gear,Black,139.99,4,The Oxford Original Approved AA Slim Jeans are single layer riding jeans featuring CE AA rated Armourlite denim with CE level 2 protectors for lightweight and comfortable street riding.,Oxford Original Approved AA Slim Jeans The Oxford Original Approved AA Slim Jeans are single layer riding jeans featuring CE AA rated Armourlite denim with CE level 2 protectors for lightweight and comfortable street riding. Features: Oxford’s Approved Denim Armourlite - highly durable denim that maintains a vintage look and softness Level 2 CE armor on knees Two-way stretch was added to enhance mobility and comfort Quick dry technology which draws sweat and increases water repellency Single layer Quick drying Lightweight
943817,Oxford Original Approved AA Straight Jeans,Oxford Products,Apparel & Accessories / Clothing / Activewear / Motorcycle Protective Clothing / Motorcycle Pants,Riding Gear,Black,139.99,4,The Oxford Original Approved AA Straight Jeans are single layer riding jeans featuring CE AA rated Armourlite denim with CE level 2 protectors for lightweight and comfortable street riding.,Oxford Original Approved AA Straight Jeans The Oxford Original Approved AA Straight Jeans are single layer riding jeans featuring CE AA rated Armourlite denim with CE level 2 protectors for lightweight and comfortable street riding. Features: Oxford’s Approved Denim Armourlite - highly durable denim that maintains a vintage look and softness Level 2 CE armor on knees Two-way stretch was added to enhance mobility and comfort Quick dry technology which draws sweat and increases water repellency Single layer Quick drying Lightweight
943819,Oxford Spartan Jacket,Oxford Products,Apparel & Accessories / Clothing / Activewear / Motorcycle Protective Clothing / Motorcycle Jackets,Riding Gear/Jackets & Vests,Black,93.32,4,The Oxford Spartan Waterproof Jacket is the perfect commuter jacket for everyday riders. Polyester outer material is waterproof and combines with a thermal liner to keep you warm on those chilly mornings. Upper arm and collar adjustments provide an option for a customized and comfortable fit. Printed reflective panels allow for everyone to see you even if you don't see them.,Oxford Spartan Waterproof Jacket The Oxford Spartan Waterproof Jacket is the perfect commuter jacket for everyday riders. Polyester outer material is waterproof and combines with a thermal liner to keep you warm on those chilly mornings. Upper arm and collar adjustments provide an option for a customized and comfortable fit. Printed reflective panels allow for everyone to see you even if you don't see them. Features: Polyester outer material Hidden structure stitching Nylon bonded Coates thread Bar-tack stitching Overlays (hidden extra layers of material) Waterproof Elbow & shoulder protectors included Upper arms adjustment points Cuff adjustments Collar adjustment Internal pockets Fixed thermal liner Printed reflectives Short pant connectors Storm flap lacket Soft edge cuffs Soft touch collar
943822,Klim Keychain,Klim,Vehicles & Parts / Vehicle Parts & Accessories,Accessories/Motorcycle Accessories,Black/Yellow,3.99,2,The official Klim Keychain will give your keys some extra style in the classic Klim black and yellow no matter if you are on or off-road. ,Klim Keychain The official Klim Keychain will give your keys some extra style in the classic Klim black and yellow no matter if you are on or off-road. Features: Rubberized Non-scratching
943829,Zeta Aluminum Footpegs KTM / Husqvarna 85cc-501cc 2017-2021,Zeta,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Parts/Motorcycle Parts/Foot Controls,,98.06,3,"Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase.","Zeta Aluminum Footpegs KTM / Husqvarna 85cc-501cc Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase. Features: CNC machined A2014 forged aluminum construction 57mm foot peg width provides increased foot peg traction and control Light weight design comes with anodized finish and laser printed Zeta logo SUS 304 stainless steel pins provide better grip"
943830,Zeta Aluminum Footpegs Honda CR / CRF / Africa Twin 2002-2021,Zeta,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Parts/Motorcycle Parts/Foot Controls,,98.06,2,"Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase.","Zeta Aluminum Footpegs Honda CR / CRF / Africa Twin Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase. Features: CNC machined A2014 forged aluminum construction 57mm foot peg width provides increased foot peg traction and control Light weight design comes with anodized finish and laser printed Zeta logo SUS 304 stainless steel pins provide better grip"
943831,Zeta Aluminum Footpegs Yamaha WR / YZ 65cc-450cc 1999-2021,Zeta,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Parts/Motorcycle Parts/Foot Controls,,98.06,2,"Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase.","Zeta Aluminum Footpegs Yamaha WR250F / WR250R / WR250X / WR450F / YZ65 / YZ85 / YZ125 / YZ125X / YZ250 / YZ250X / YZ250F / YZ250FX / YZ450F / YZ450FX Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase. Features: CNC machined A2014 forged aluminum construction 57mm foot peg width provides increased foot peg traction and control Light weight design comes with anodized finish and laser printed Zeta logo SUS 304 stainless steel pins provide better grip"
943832,Zeta Aluminum Footpegs Kawasaki KX250F / KX450F 2009-2021,Zeta,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Parts/Motorcycle Parts/Foot Controls,,98.06,2,"Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase.","Zeta Aluminum Footpegs Kawasaki KX250F / KX450F Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase. Features: CNC machined A2014 forged aluminum construction 57mm foot peg width provides increased foot peg traction and control Light weight design comes with anodized finish and laser printed Zeta logo SUS 304 stainless steel pins provide better grip"
943833,Zeta Aluminum Footpegs Beta / Husqvarna / KTM 50cc-1290cc 1998-2022,Zeta,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Parts/Motorcycle Parts/Foot Controls,,98.06,2,"Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase.","Zeta Aluminum Footpegs Beta / Husqvarna / KTM 50cc-1290cc Amplify your foot control with the Aluminum Footpegs from Zeta. Constructed of forged aluminum, these 57mm wide footpegs provide improved foot peg traction and control. A light weight design combined with stainless pins and an anodized finish ensure these pegs are the real deal and a solid prospect for your next foot peg purchase. Features: CNC machined A2014 forged aluminum construction 57mm foot peg width provides increased foot peg traction and control Light weight design comes with anodized finish and laser printed Zeta logo SUS 304 stainless steel pins provide better grip"
943835,BBR Motorsports Tall Handlebar Kit Honda CRF110F 2019-2022,BBR Motorsports,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Dirt/Dirt Parts/Dirt Handlebars & Controls (ALL),,169.95,1,"The most important upgrade you can make to your pitbike! Replace the stock ""low-rise"" steel handlebar with BBR's Premium Aluminum MX bar. BBR bars are about 2"" taller and 4"" wider with considerably less pullback to provide a much more upright and aggressive riding position. The BBR throttle allows you to run full sized MX grips. ","BBR Motorsports Tall Handlebar Kit Honda CRF110F The most important upgrade you can make to your pitbike! Replace the stock ""low-rise"" steel handlebar with BBR's Premium Aluminum MX bar. BBR bars are about 2"" taller and 4"" wider with considerably less pullback to provide a much more upright and aggressive riding position. The BBR throttle allows you to run full sized MX grips. Features: BBR Aluminum 7/8"" MX Handlebars with BBR bar pad Extended throttle cables and full sized throttle tube Shorty style brake lever with extended brake cable BBR grips"
